pageid,title,wikidata,label
389974,Mswati III,Q57340,Mswati III
18022576,Sikhanyiso Dlamini,Q467866,Sikhanyiso Dlamini
39325267,Themba Masuku,Q16973942,Themba Nhlanganiso Masuku
61000474,Thuli Dladla,Q64747413,Thuli Dladla
63187221,Neal Rijkenberg,Q86753035,Neal Rijkenberg
64525199,Lizzy Nkosi,Q97156196,Lizzy Nkosi
68288446,Cleopas Dlamini,Q107600891,Cleopas Dlamini
