item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q106272177,NormalRank,Q6581097,true,false,,,,
Q106317582,NormalRank,Q6581097,true,false,,,,
Q107600891,NormalRank,Q6581097,true,false,,,,
Q108461960,NormalRank,Q6581097,true,false,,,,
Q108461961,NormalRank,Q6581097,true,false,,,,
Q108461963,NormalRank,Q6581097,true,false,,,,
Q108461964,NormalRank,Q6581097,true,false,,,,
Q108461965,NormalRank,Q6581097,true,false,,,,
Q108461966,NormalRank,Q6581097,true,false,,,,
Q112055121,NormalRank,Q6581072,true,false,,,,
Q114515089,NormalRank,Q6581097,true,false,,,,
Q114515091,NormalRank,Q6581097,true,false,,,,
Q114515132,NormalRank,Q6581097,true,false,,,,
Q114515133,,,,false,,,,
Q114515136,,,,false,,,,
Q114515137,NormalRank,Q6581097,true,false,,,,
Q114515138,,,,false,,,,
Q114515139,,,,false,,,,
Q114515140,NormalRank,Q6581097,true,false,,,,
Q114515141,,,,false,,,,
Q114515142,,,,false,,,,
Q114515143,,,,false,,,,
Q114515144,,,,false,,,,
Q114515571,NormalRank,Q6581097,true,false,,,,
Q114515573,NormalRank,Q6581097,true,false,,,,
Q114515670,NormalRank,Q6581097,true,false,,,,
Q16973942,NormalRank,Q6581097,true,false,,,,
Q19380887,NormalRank,Q6581097,true,false,,,,
Q2062420,NormalRank,Q6581097,true,false,,,,
Q28403455,NormalRank,Q6581097,true,false,,,,
Q331724,NormalRank,Q6581097,true,false,,,,
Q3324762,NormalRank,Q6581097,true,false,,,,
Q467866,NormalRank,Q6581072,true,true,false,false,false,true
Q484720,NormalRank,Q6581097,true,false,,,,
Q4901662,NormalRank,Q6581097,true,false,,,,
Q5163581,NormalRank,Q6581072,true,true,false,false,false,true
Q56630743,NormalRank,Q6581097,true,false,,,,
Q57973856,NormalRank,Q6581097,true,false,,,,
Q64747413,NormalRank,Q6581072,true,false,,,,
Q86753035,NormalRank,Q6581097,true,false,,,,
Q97156196,NormalRank,Q6581072,true,false,,,,
Q98893969,NormalRank,Q6581097,true,false,,,,
Q57340,NormalRank,Q6581097,true,true,false,false,false,true
Q57340,NormalRank,Q6581097,true,true,true,false,false,false
Q57715,NormalRank,Q6581097,true,true,false,false,false,true
Q58271,NormalRank,Q6581097,true,false,,,,
