@@,item,itemlabel,position,positionlabel,enddate,psid
->,Q57973856->Q107600891,Ambrose Mandvulo Dlamini->Cleopas Dlamini,Q30101440,Prime Minister of Eswatini,2020-12-13,Q57973856-9A17AEC6-8A6E-4F96-A054-AE4EFDB4FCFB
---,Q114515670,Jabulani Mabuza,Q114515701,Minister of Agriculture,,Q114515670-89551CDB-8BB4-4CC2-84B3-5BA0B59A5EDA
---,Q28403455,Paul Dlamini,Q114507955,Deputy Prime Minister of Eswatini,2018-11-06,Q28403455-6A7B36B9-8EC8-4799-82C5-802844E6DB72
---,Q112055121,Sibongile Ndlela-Simelane,Q112055107,Minister of Health of Eswatini,2018-11-06,Q112055121-4b1bba68-4ca0-56bf-d72e-5b19b35a3fe0
