item,itemLabel,position,positionLabel,startDate,endDate
Q107600891,Cleopas Dlamini,,Prime Minister of Eswatini,2018-11-02,
Q16973942,Themba N. Masuku,,Deputy Prime Minister of Eswatini,2018-11-02,
Q86753035,Neal Rijkenberg,,Finance,2018-11-02,
,Manqoba Khumalo,,"Commerce, Industry & Trade",2018-11-02,
,Pholile Dlamini,,Justice and Constitutional Affairs,2018-11-02,
Q467866,Sikhanyiso Dlamini,,Information Communication & Technology,2018-11-02,
,Peter Bhembe,,Natural Resources & Energy,2018-11-02,
,Princess Lindiwe,,Home Affairs,2018-11-02,
,Ndlaluhlaza Ndwandwe,,Public Works & Transport,2018-11-02,
,Prince Simelane,,Housing & Urban Development,2018-11-02,
Q64747413,Thuli Dladla,,Foreign Affairs & International Cooperation,2018-11-02,
Q97156196,Lizzy Nkosi,,Health,2018-11-02,
,Harries Madze Bulunga,,"Sports, Culture & Youth Affairs",2018-11-02,
,Moses Vilakati,,Tourism and Environmental Affairs,2018-11-02,
,David Ngcamphalala,,Tinkhundla Administration & Development,2018-11-02,
,Lady Howard Mabuza,,Education and Training,2018-11-02,
Q106317582,Makhosi Vilakati,,Labour & Social Security,2018-11-02,
,Christian Ntshangase,,Public Service,2018-11-02,
,Tambo Gina,,Economic Planning and Development,2018-11-02,
